"","tractid","boomer00","total00","gisjoin","total10","boomer10","metroid","distance","boomer00t","total00t","total10t","boomer10t","lq00","lq10","lqdiff","boomerdiff","boomergro","distmiles"
"35656","12057013410",727.925109863281,2644,"G1200570013410",4456,922,45300,15043.697265625,654123.6875,2395996,2783243,728105,1.00844323635101,0.79093873500824,-0.217504501342773,194.074890136719,26.6613807678223,9.34774303436279
"35657","12103027210",1267.45642089844,4578,"G1201030027210",4395,1459,45300,33157.078125,654123.6875,2395996,2783243,728105,1.01410627365112,1.26897633075714,0.254870057106018,191.543579101562,15.1124391555786,20.6029052734375
"35658","12057010702",828,3462,"G1200570010702",3033,759,45300,12300.677734375,654123.6875,2395996,2783243,728105,0.876051187515259,0.956591427326202,0.0805402398109436,-69,-8.33333301544189,7.64330577850342
"35659","12101033005",729.663940429688,3565,"G1201010033005",4462,1151,45300,45382.05078125,654123.6875,2395996,2783243,728105,0.749703526496887,0.986058950424194,0.236355423927307,421.336059570312,57.7438507080078,28.1991691589355
"35660","12053040303",591.586669921875,2009.00012207031,"G1200530040303",2536,851,45300,63090.69921875,654123.6875,2395996,2783243,728105,1.07861042022705,1.28273642063141,0.204126000404358,259.413330078125,43.8504371643066,39.2028388977051
"35661","12057011904",546.109008789062,2081,"G1200570011904",1803,277,45300,7443.85205078125,654123.6875,2395996,2783243,728105,0.961243629455566,0.587274491786957,-0.37396913766861,-269.109008789062,-49.2775268554688,4.62540674209595
"35662","12101033011",216.936614990234,1447,"G1201010033011",1908,457,45300,39125.03515625,654123.6875,2395996,2783243,728105,0.549149453639984,0.915577113628387,0.366427659988403,240.063385009766,110.660614013672,24.3112297058105
"35663","12057010209",564.733459472656,1829.18969726562,"G1200570010209",9162,1733,45300,27879.53515625,654123.6875,2395996,2783243,728105,1.13086557388306,0.723045110702515,-0.407820463180542,1168.2666015625,206.87043762207,17.3235836029053
"35664","12057013807",453.695465087891,1764,"G1200570013807",6187,1120,45300,18654.4375,654123.6875,2395996,2783243,728105,0.942089319229126,0.691982328891754,-0.250106990337372,666.304565429688,146.861618041992,11.5913591384888
"35665","12101030102",788.760864257812,2708.92358398438,"G1201010030102",2529,969,45300,52818.48828125,654123.6875,2395996,2783243,728105,1.06653428077698,1.46464395523071,0.398109674453735,180.239135742188,22.850923538208,32.8199691772461
"35666","12103026818",904.335327148438,4708,"G1201030026818",4357,667,45300,23254.576171875,654123.6875,2395996,2783243,728105,0.7035893201828,0.585187971591949,-0.118401348590851,-237.335327148438,-26.2441730499268,14.4497594833374
"35667","12057013407",2300.56298828125,6388.7861328125,"G1200570013407",6749,2063,45300,19107.232421875,654123.6875,2395996,2783243,728105,1.3189914226532,1.16846823692322,-0.15052318572998,-237.56298828125,-10.3262977600098,11.8727130889893
"35668","12103022100",1578,5116,"G1201030022100",4802,1371,45300,4912.02783203125,654123.6875,2395996,2783243,728105,1.12980282306671,1.09137105941772,-0.0384317636489868,-207,-13.1178703308105,3.05220007896423
"35669","12101031504",575,1394,"G1201010031504",1978,750,45300,35962.53125,654123.6875,2395996,2783243,728105,1.51088452339172,1.44941282272339,-0.061471700668335,175,30.4347820281982,22.3461360931396
"35670","12103027318",1088.53430175781,3788.89819335938,"G1201030027318",3752,1133,45300,28708.751953125,654123.6875,2395996,2783243,728105,1.05233836174011,1.15431463718414,0.101976275444031,44.4656982421875,4.08491468429565,17.8388366699219
"35671","12057012103",1008.87248912454,3759.5030272603,"G1200570012103",5264,1039,45300,11999.5009765625,654123.6875,2395996,2783243,728105,0.982951402664185,0.754495739936829,-0.228455662727356,30.1275100708008,2.98625564575195,7.45616292953491
"35672","12057011607",2200.83713531494,7415,"G1200570011607",7558,2141,45300,17101.39453125,654123.6875,2395996,2783243,728105,1.08718383312225,1.08284652233124,-0.00433731079101562,-59.8371353149414,-2.71883511543274,10.6263399124146
"35673","12057013703",852.924682617188,3007,"G1200570013703",5287,1021,45300,10757.46875,654123.6875,2395996,2783243,728105,1.03897106647491,0.738199174404144,-0.30077189207077,168.075317382812,19.7057628631592,6.68439769744873
"35674","12103025800",1042,3682,"G1201030025800",4032,938,45300,24020.62890625,654123.6875,2395996,2783243,728105,1.03659749031067,0.889281868934631,-0.147315621376038,-104,-9.98080635070801,14.9257640838623
"35675","12101031407",583.062438964844,3054.25903320312,"G1201010031407",2842,883,45300,40161.546875,654123.6875,2395996,2783243,728105,0.699254751205444,1.18766438961029,0.488409638404846,299.937561035156,51.4417572021484,24.9552898406982
"35676","12057013208",1908.40399587154,4895.05269384384,"G1200570013208",4939,1799,45300,24648.0390625,654123.6875,2395996,2783243,728105,1.42803597450256,1.39235270023346,-0.035683274269104,-109.403999328613,-5.73274803161621,15.315619468689
"35677","12101030408",573.81689453125,2758,"G1201010030408",2734,678,45300,40172.50390625,654123.6875,2395996,2783243,728105,0.762088298797607,0.947956264019012,0.185867965221405,104.18310546875,18.1561584472656,24.9620990753174
"35678","12101031404",871,3991,"G1201010031404",4125,1024,45300,39639.51171875,654123.6875,2395996,2783243,728105,0.799397230148315,0.948927700519562,0.149530470371246,153,17.5660152435303,24.6309127807617
"35679","12103025602",847.490966796875,3307.08935546875,"G1201030025602",3171,916,45300,22728.158203125,654123.6875,2395996,2783243,728105,0.938675224781036,1.1042218208313,0.165546596050262,68.509033203125,8.08374786376953,14.1226577758789
"35680","12103024002",1541,5559,"G1201030024002",5115,1520,45300,4591.87451171875,654123.6875,2395996,2783243,728105,1.01538836956024,1.13593912124634,0.120550751686096,-21,-1.36275148391724,2.85326552391052
